,train_loss,train_acc,val_acc,test_acc,num_feats,num_emb
0,1.377031922340393,0.6,0.6,0.6,10000,24
1,1.351224660873413,0.6,0.6,0.6,10000,24
2,1.3017785549163818,0.6,0.6,0.66,10000,24
3,1.2941854000091553,0.6,0.66,0.6,10000,24
4,1.276080846786499,0.75,0.6,0.72,10000,24
5,1.2379570007324219,0.76,0.69,0.66,10000,24
6,1.2154772281646729,0.73,0.7,0.71,9998,24
7,1.2012040615081787,0.71,0.75,0.73,9965,24
8,1.1505392789840698,0.73,0.68,0.78,9758,24
9,1.132851243019104,0.75,0.69,0.68,9250,24
10,1.1754426956176758,0.73,0.82,0.8,8572,24
11,1.1182527542114258,0.77,0.78,0.83,8078,24
12,1.137934684753418,0.8,0.84,0.78,7814,24
13,1.2020280361175537,0.74,0.85,0.85,7656,24
14,1.0221483707427979,0.82,0.79,0.81,7524,24
15,1.0532267093658447,0.78,0.7,0.8,7443,24
16,1.0860832929611206,0.77,0.72,0.82,7361,24
17,0.9675693511962891,0.84,0.92,0.89,7306,24
18,1.1114187240600586,0.63,0.92,0.84,7245,24
19,0.9126825332641602,0.94,0.88,0.91,7185,24
20,0.9729874134063721,0.81,0.87,0.8,7151,24
21,0.8879861831665039,0.92,0.92,0.94,7119,24
22,0.835600733757019,0.95,0.93,0.95,7091,24
23,0.8377624750137329,0.94,0.94,0.94,7060,24
24,0.8288154006004333,0.98,0.92,0.89,7026,24
25,0.82883220911026,0.93,0.98,0.98,6996,24
26,0.8462506532669067,0.92,1.0,0.97,6982,24
27,0.7156599164009094,0.97,0.99,0.96,6955,24
28,0.7516478896141052,0.94,0.97,0.97,6949,24
29,0.7844952940940857,0.93,1.0,1.0,6929,24
30,0.685416042804718,1.0,1.0,1.0,6934,24
31,0.816177248954773,0.89,1.0,0.99,6924,24
32,0.6631227731704712,0.97,1.0,1.0,6913,24
33,0.621184229850769,1.0,0.98,0.99,6912,24
34,0.6768625974655151,0.97,1.0,1.0,6898,24
35,0.6045353412628174,1.0,0.98,0.91,6887,24
36,0.633730411529541,1.0,1.0,0.79,6876,24
37,0.7594233155250549,0.89,0.94,1.0,6845,24
38,0.6325177550315857,1.0,0.96,1.0,6836,24
39,0.6287421584129333,0.99,0.95,0.96,6833,24
