,train_loss,train_acc,val_acc,test_acc,num_feats
0,0.8201245665550232,0.6,0.6,0.6,10000
1,0.8070858716964722,0.6,0.6,0.6,10000
2,0.7940595746040344,0.6,0.6,0.6,10000
3,0.7685039043426514,0.6,0.6,0.6,10000
4,0.737389326095581,0.6,0.6,0.6,10000
5,0.7094149589538574,0.6,0.6,0.6,10000
6,0.6857320070266724,0.6,0.6,0.7,10000
7,0.6586922407150269,0.6,0.76,0.77,10000
8,0.6246744394302368,0.75,0.77,0.79,10000
9,0.5860338807106018,0.8,0.8,0.71,10000
10,0.5553522706031799,0.72,0.83,0.85,10000
11,0.5142510533332825,0.82,0.85,0.84,10000
12,0.5100932717323303,0.85,0.88,0.88,10000
13,0.4372994005680084,0.88,0.86,0.86,10000
14,0.40873655676841736,0.88,0.87,0.88,10000
15,0.3593788743019104,0.9,0.95,0.97,10000
16,0.27338147163391113,0.97,0.97,0.95,10000
17,0.23436574637889862,0.97,0.91,0.95,10000
18,0.20503588020801544,1.0,0.93,0.83,10000
19,0.20937520265579224,0.96,0.96,0.99,10000
20,0.20774926245212555,0.95,0.99,0.99,10000
21,0.20510554313659668,0.97,0.97,0.99,10000
22,0.17830868065357208,0.99,0.98,1.0,10000
23,0.17979517579078674,0.98,1.0,1.0,10000
24,0.13706684112548828,1.0,0.95,0.97,10000
25,0.19730472564697266,0.97,1.0,1.0,10000
26,0.14588183164596558,0.99,1.0,1.0,10000
27,0.13772155344486237,1.0,1.0,1.0,10000
28,0.13693642616271973,1.0,1.0,0.98,10000
29,0.14470237493515015,1.0,1.0,1.0,10000
30,0.13352081179618835,1.0,1.0,1.0,10000
31,0.13591916859149933,1.0,1.0,1.0,10000
32,0.13099849224090576,1.0,1.0,1.0,10000
33,0.1293802410364151,1.0,1.0,1.0,10000
34,0.12969283759593964,1.0,1.0,1.0,10000
35,0.14071202278137207,1.0,1.0,1.0,10000
36,0.12869301438331604,1.0,1.0,1.0,10000
37,0.12860658764839172,1.0,1.0,1.0,10000
38,0.12848350405693054,1.0,1.0,1.0,10000
39,0.1283320188522339,1.0,1.0,0.99,10000
40,0.1339927464723587,1.0,1.0,0.9,10000
41,0.18496884405612946,0.98,1.0,1.0,10000
42,0.1278817355632782,1.0,1.0,1.0,10000
43,0.12774623930454254,1.0,1.0,0.99,10000
44,0.14428600668907166,0.99,0.95,0.98,10000
45,0.17977148294448853,0.98,1.0,1.0,10000
46,0.13319988548755646,1.0,1.0,1.0,9999
47,0.12721985578536987,1.0,1.0,1.0,9985
48,0.12707620859146118,1.0,1.0,1.0,9921
49,0.12697181105613708,1.0,1.0,1.0,9826
50,0.1311292052268982,1.0,1.0,1.0,9765
51,0.1267784833908081,1.0,1.0,0.99,9727
52,0.1528281420469284,0.98,1.0,1.0,9701
53,0.12703149020671844,1.0,1.0,1.0,9670
54,0.12627986073493958,1.0,1.0,1.0,9645
55,0.12614041566848755,1.0,1.0,1.0,9619
56,0.12600348889827728,1.0,1.0,1.0,9592
57,0.12905848026275635,1.0,0.99,0.99,9569
58,0.12588033080101013,1.0,0.97,0.99,9548
59,0.17645280063152313,0.97,1.0,1.0,9533
60,0.1255563348531723,1.0,1.0,1.0,9520
61,0.12539754807949066,1.0,1.0,1.0,9502
62,0.1375991851091385,0.99,0.99,0.94,9487
63,0.7409715056419373,0.75,1.0,1.0,9473
64,0.12504182755947113,1.0,1.0,0.99,9454
65,0.22088980674743652,0.96,0.86,0.91,9442
66,0.2638014554977417,0.94,0.99,0.99,9433
67,0.2924400568008423,0.95,1.0,1.0,9430
68,0.12497782707214355,1.0,1.0,1.0,9420
69,0.12464054673910141,1.0,0.98,1.0,9412
70,0.13410326838493347,1.0,1.0,0.98,9398
71,0.12532080709934235,1.0,0.89,0.89,9387
72,0.778953492641449,0.87,0.99,0.98,9376
73,0.2125614583492279,0.97,1.0,1.0,9365
74,0.12597247958183289,1.0,1.0,1.0,9352
75,0.3833238482475281,0.94,0.98,0.99,9335
76,0.12405267357826233,1.0,0.88,1.0,9328
77,0.13191553950309753,1.0,0.99,0.99,9318
78,0.13324207067489624,1.0,0.91,0.92,9309
79,0.2627178132534027,0.96,0.84,0.98,9298
80,0.48987889289855957,0.85,1.0,0.96,9293
81,0.14672845602035522,0.98,0.99,1.0,9288
82,0.12366943061351776,1.0,1.0,0.97,9281
83,0.274787575006485,0.96,0.98,1.0,9277
84,0.5214121341705322,0.88,0.98,0.97,9269
85,0.130032479763031,1.0,1.0,1.0,9266
86,0.18823911249637604,0.97,0.99,1.0,9260
87,0.1237177774310112,1.0,1.0,1.0,9254
88,0.12389955669641495,1.0,1.0,1.0,9250
89,0.1233634427189827,1.0,1.0,1.0,9245
90,0.12332765758037567,1.0,1.0,1.0,9242
91,0.12332458794116974,1.0,1.0,0.99,9234
92,0.12320898473262787,1.0,1.0,1.0,9226
93,0.13709509372711182,0.99,0.99,0.97,9221
94,0.12438593059778214,1.0,0.96,1.0,9211
95,0.12463176995515823,1.0,0.83,1.0,9203
96,0.14381873607635498,1.0,1.0,0.99,9192
97,0.2257809042930603,0.96,0.99,1.0,9188
98,0.23879536986351013,0.95,1.0,1.0,9182
99,0.12278831005096436,1.0,1.0,1.0,9173
100,0.13454927504062653,0.99,1.0,1.0,9168
101,0.1254390925168991,1.0,1.0,1.0,9158
102,0.12388820201158524,1.0,0.98,1.0,9154
103,0.15263399481773376,0.99,1.0,0.96,9152
104,0.13013002276420593,1.0,0.97,1.0,9151
105,0.1292845904827118,1.0,0.93,0.98,9149
106,0.18736782670021057,0.97,1.0,1.0,9144
107,0.2113371193408966,0.95,1.0,0.93,9139
108,0.12678153812885284,1.0,1.0,1.0,9131
109,0.12362659722566605,1.0,1.0,1.0,9131
110,0.12245731800794601,1.0,1.0,1.0,9126
111,0.12504683434963226,1.0,1.0,1.0,9123
112,0.12367051839828491,1.0,1.0,1.0,9116
113,0.12231740355491638,1.0,1.0,1.0,9114
114,0.12244145572185516,1.0,1.0,1.0,9107
115,0.12307512015104294,1.0,1.0,1.0,9102
116,0.12211297452449799,1.0,1.0,1.0,9100
117,0.12202132493257523,1.0,1.0,1.0,9094
118,0.12205511331558228,1.0,1.0,1.0,9088
119,0.12204570323228836,1.0,1.0,1.0,9081
120,0.12193997949361801,1.0,1.0,1.0,9077
121,0.12186164408922195,1.0,1.0,1.0,9070
122,0.12186955660581589,1.0,1.0,1.0,9064
123,0.12181641906499863,1.0,1.0,1.0,9058
124,0.12172342836856842,1.0,1.0,1.0,9055
125,0.1216464713215828,1.0,1.0,1.0,9053
126,0.12157659232616425,1.0,1.0,1.0,9046
127,0.12153002619743347,1.0,1.0,0.98,9041
128,0.12159566581249237,1.0,0.99,1.0,9034
129,0.12147330492734909,1.0,0.92,1.0,9033
130,0.12140028923749924,1.0,1.0,1.0,9029
131,0.12132956087589264,1.0,1.0,1.0,9021
132,0.1515362709760666,0.99,1.0,1.0,9016
133,0.12355268001556396,1.0,1.0,1.0,9012
134,0.12123891711235046,1.0,1.0,1.0,9009
135,0.12480626255273819,1.0,1.0,1.0,9006
136,0.12116003036499023,1.0,1.0,1.0,9003
137,0.1210988238453865,1.0,1.0,1.0,8999
138,0.1210327073931694,1.0,1.0,1.0,8995
139,0.12101223319768906,1.0,1.0,1.0,8990
140,0.1209794282913208,1.0,1.0,1.0,8985
141,0.12091987580060959,1.0,1.0,1.0,8982
142,0.12091105431318283,1.0,1.0,1.0,8980
143,0.12082729488611221,1.0,1.0,1.0,8973
144,0.12118344753980637,1.0,1.0,1.0,8968
145,0.120775006711483,1.0,1.0,1.0,8963
146,0.1208270862698555,1.0,1.0,1.0,8959
147,0.1206628680229187,1.0,1.0,1.0,8955
148,0.12064123898744583,1.0,1.0,1.0,8950
149,0.12066734582185745,1.0,1.0,1.0,8949
150,0.1205739676952362,1.0,1.0,1.0,8943
151,0.12049465626478195,1.0,1.0,1.0,8938
152,0.12060579657554626,1.0,1.0,1.0,8932
153,0.12523631751537323,1.0,1.0,1.0,8931
154,0.12044946104288101,1.0,1.0,1.0,8928
155,0.12038802355527878,1.0,1.0,1.0,8927
156,0.12031923234462738,1.0,1.0,1.0,8926
157,0.12044725567102432,1.0,1.0,1.0,8921
158,0.12040308117866516,1.0,1.0,1.0,8911
159,0.1201520562171936,1.0,1.0,1.0,8907
160,0.1201418936252594,1.0,1.0,1.0,8900
161,0.12006749957799911,1.0,1.0,1.0,8891
162,0.12009984254837036,1.0,1.0,1.0,8885
163,0.1200505793094635,1.0,1.0,1.0,8883
164,0.12030311673879623,1.0,1.0,1.0,8879
165,0.11993162333965302,1.0,1.0,1.0,8872
166,0.1199534684419632,1.0,1.0,1.0,8869
167,0.11982100456953049,1.0,1.0,1.0,8865
168,0.11988457292318344,1.0,1.0,1.0,8860
169,0.11978327482938766,1.0,1.0,1.0,8857
170,0.11969010531902313,1.0,1.0,1.0,8854
171,0.11965975165367126,1.0,1.0,1.0,8852
172,0.11962098628282547,1.0,1.0,1.0,8850
173,0.11980944126844406,1.0,1.0,1.0,8844
174,0.11953853070735931,1.0,1.0,1.0,8842
175,0.11950913816690445,1.0,1.0,1.0,8840
176,0.11948572844266891,1.0,1.0,1.0,8835
177,0.11978292465209961,1.0,1.0,1.0,8832
178,0.11937296390533447,1.0,1.0,1.0,8830
179,0.11932250112295151,1.0,1.0,1.0,8824
180,0.11930857598781586,1.0,1.0,1.0,8820
181,0.119232676923275,1.0,1.0,1.0,8813
182,0.11953620612621307,1.0,1.0,1.0,8807
183,0.11917992681264877,1.0,1.0,1.0,8804
184,0.11912057548761368,1.0,1.0,1.0,8800
185,0.11907019466161728,1.0,1.0,1.0,8797
186,0.11908059567213058,1.0,1.0,1.0,8791
187,0.119047611951828,1.0,1.0,1.0,8786
188,0.11894512176513672,1.0,1.0,1.0,8779
189,0.11892152577638626,1.0,1.0,1.0,8776
190,0.11889611929655075,1.0,1.0,1.0,8773
