,train_loss,train_acc,val_acc,test_acc,num_feats,num_emb
0,1.3685951232910156,0.6,0.4,0.6,10000,24
1,1.3620407581329346,0.6,0.6,0.6,10000,24
2,1.3481394052505493,0.6,0.6,0.6,10000,24
3,1.3840073347091675,0.6,0.6,0.6,10000,24
4,1.3324304819107056,0.6,0.6,0.6,10000,24
5,1.3469276428222656,0.6,0.6,0.4,10000,24
6,1.2805912494659424,0.6,0.6,0.6,9999,24
7,1.388108730316162,0.46,0.6,0.6,9943,24
8,1.3433924913406372,0.6,0.6,0.6,9596,24
9,1.297595739364624,0.6,0.6,0.6,8741,24
10,1.274451732635498,0.6,0.6,0.6,7643,24
11,1.2893176078796387,0.6,0.6,0.6,6907,24
12,1.3099398612976074,0.6,0.6,0.6,6559,24
13,1.226095199584961,0.6,0.6,0.6,6374,24
14,1.3459441661834717,0.48,0.6,0.6,6250,24
15,1.3250339031219482,0.6,0.72,0.4,6167,24
16,1.2431302070617676,0.6,0.6,0.73,6086,24
17,1.236790657043457,0.69,0.4,0.71,6030,24
18,1.2209858894348145,0.74,0.4,0.8,5989,24
19,1.4936840534210205,0.4,0.68,0.6,5947,24
20,1.2779290676116943,0.66,0.77,0.71,5923,24
21,1.2015752792358398,0.6,0.7,0.6,5893,24
22,1.211731195449829,0.6,0.6,0.72,5857,24
23,1.2332669496536255,0.6,0.4,0.67,5839,24
24,1.514439582824707,0.4,0.6,0.7,5813,24
25,1.1697838306427002,0.61,0.64,0.67,5790,24
26,1.1621085405349731,0.73,0.6,0.46,5770,24
27,1.1435015201568604,0.72,0.77,0.6,5755,24
28,1.4695098400115967,0.4,0.69,0.72,5746,24
29,1.1789295673370361,0.6,0.75,0.73,5728,24
30,1.1194252967834473,0.73,0.75,0.73,5722,24
31,1.1121917963027954,0.77,0.73,0.75,5713,24
32,1.1602497100830078,0.6,0.75,0.65,5707,24
33,1.1043422222137451,0.77,0.79,0.6,5707,24
34,1.244455099105835,0.59,0.6,0.79,5706,24
